Kernel Shape,Output Shape,Params,Mult-Adds
"[3, 64, 3, 3]","[1, 64, 256, 256]",1728.0,113246208.0
[64],"[1, 64, 256, 256]",128.0,64.0
-,"[1, 64, 256, 256]",,
"[64, 64, 3, 3]","[1, 64, 128, 128]",36864.0,603979776.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 64, 1, 1]","[1, 64, 128, 128]",4096.0,67108864.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 64, 3, 3]","[1, 64, 128, 128]",36864.0,603979776.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 256, 1, 1]","[1, 256, 128, 128]",16384.0,268435456.0
[256],"[1, 256, 128, 128]",512.0,256.0
"[64, 256, 1, 1]","[1, 256, 128, 128]",16384.0,268435456.0
[256],"[1, 256, 128, 128]",512.0,256.0
-,"[1, 256, 128, 128]",,
"[256, 64, 1, 1]","[1, 64, 128, 128]",16384.0,268435456.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 64, 3, 3]","[1, 64, 128, 128]",36864.0,603979776.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 256, 1, 1]","[1, 256, 128, 128]",16384.0,268435456.0
[256],"[1, 256, 128, 128]",512.0,256.0
-,"[1, 256, 128, 128]",,
"[256, 64, 1, 1]","[1, 64, 128, 128]",16384.0,268435456.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 64, 3, 3]","[1, 64, 128, 128]",36864.0,603979776.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 256, 1, 1]","[1, 256, 128, 128]",16384.0,268435456.0
[256],"[1, 256, 128, 128]",512.0,256.0
-,"[1, 256, 128, 128]",,
"[256, 64, 1, 1]","[1, 64, 128, 128]",16384.0,268435456.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 64, 3, 3]","[1, 64, 128, 128]",36864.0,603979776.0
[64],"[1, 64, 128, 128]",128.0,64.0
-,"[1, 64, 128, 128]",,
"[64, 256, 1, 1]","[1, 256, 128, 128]",16384.0,268435456.0
[256],"[1, 256, 128, 128]",512.0,256.0
-,"[1, 256, 128, 128]",,
"[256, 48, 3, 3]","[1, 48, 128, 128]",110592.0,1811939328.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[256, 96, 3, 3]","[1, 96, 64, 64]",221184.0,905969664.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 48, 1, 1]","[1, 48, 64, 64]",4608.0,18874368.0
[48],"[1, 48, 64, 64]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 96, 3, 3]","[1, 96, 64, 64]",41472.0,169869312.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 192, 3, 3]","[1, 192, 32, 32]",165888.0,169869312.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[96, 48, 1, 1]","[1, 48, 64, 64]",4608.0,18874368.0
[48],"[1, 48, 64, 64]",96.0,48.0
"[192, 48, 1, 1]","[1, 48, 32, 32]",9216.0,9437184.0
[48],"[1, 48, 32, 32]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 96, 3, 3]","[1, 96, 64, 64]",41472.0,169869312.0
[96],"[1, 96, 64, 64]",192.0,96.0
"[192, 96, 1, 1]","[1, 96, 32, 32]",18432.0,18874368.0
[96],"[1, 96, 32, 32]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[48, 48, 3, 3]","[1, 48, 64, 64]",20736.0,84934656.0
[48],"[1, 48, 64, 64]",96.0,48.0
-,"[1, 48, 64, 64]",,
"[48, 192, 3, 3]","[1, 192, 32, 32]",82944.0,84934656.0
[192],"[1, 192, 32, 32]",384.0,192.0
"[96, 192, 3, 3]","[1, 192, 32, 32]",165888.0,169869312.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[96, 96, 3, 3]","[1, 96, 64, 64]",82944.0,339738624.0
[96],"[1, 96, 64, 64]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[96, 48, 1, 1]","[1, 48, 64, 64]",4608.0,18874368.0
[48],"[1, 48, 64, 64]",96.0,48.0
"[192, 48, 1, 1]","[1, 48, 32, 32]",9216.0,9437184.0
[48],"[1, 48, 32, 32]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 96, 3, 3]","[1, 96, 64, 64]",41472.0,169869312.0
[96],"[1, 96, 64, 64]",192.0,96.0
"[192, 96, 1, 1]","[1, 96, 32, 32]",18432.0,18874368.0
[96],"[1, 96, 32, 32]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[48, 48, 3, 3]","[1, 48, 64, 64]",20736.0,84934656.0
[48],"[1, 48, 64, 64]",96.0,48.0
-,"[1, 48, 64, 64]",,
"[48, 192, 3, 3]","[1, 192, 32, 32]",82944.0,84934656.0
[192],"[1, 192, 32, 32]",384.0,192.0
"[96, 192, 3, 3]","[1, 192, 32, 32]",165888.0,169869312.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 48, 3, 3]","[1, 48, 128, 128]",20736.0,339738624.0
[48],"[1, 48, 128, 128]",96.0,48.0
-,"[1, 48, 128, 128]",,
